"","disease","state","year","weeks_reporting","count","population","imputed_cases_per_100k","cases_per_100k"
"1","Smallpox","Alabama",1928,51,341,2589923,13.424579592127,13.1664145999707
"2","Smallpox","Alabama",1929,52,378,2619131,14.4322678018014,14.4322678018014
"3","Smallpox","Alabama",1930,52,192,2646248,7.25555579068931,7.25555579068931
"4","Smallpox","Alabama",1931,52,295,2670818,11.0453052210971,11.0453052210971
"5","Smallpox","Alabama",1932,52,467,2693027,17.3410812442653,17.3410812442653
"6","Smallpox","Alabama",1933,52,82,2713243,3.02221363880788,3.02221363880788
"7","Smallpox","Alabama",1934,52,23,2731850,0.841920310412358,0.841920310412358
"8","Smallpox","Alabama",1935,52,42,2749249,1.52768992550329,1.52768992550329
"9","Smallpox","Alabama",1936,51,12,2765853,0.442369645734862,0.433862537163038
"10","Smallpox","Alabama",1937,52,54,2782085,1.94099030044014,1.94099030044014
"11","Smallpox","Alabama",1938,52,74,2798382,2.64438521974484,2.64438521974484
"12","Smallpox","Alabama",1939,52,52,2815188,1.84712353135918,1.84712353135918
"13","Smallpox","Alabama",1940,51,49,2832961,1.76355355099225,1.72963905962701
"14","Smallpox","Alabama",1941,51,12,2852063,0.428998031167161,0.420748069029331
"15","Smallpox","Alabama",1942,52,13,2872445,0.452576115469574,0.452576115469574
"16","Smallpox","Alabama",1943,52,20,2893949,0.691097182431342,0.691097182431342
"17","Smallpox","Alabama",1944,51,12,2916414,0.419532141789439,0.411464215985796
"18","Smallpox","Alabama",1945,52,5,2939676,0.170086771467332,0.170086771467332
"19","Smallpox","Alabama",1946,52,5,2963562,0.168715889864967,0.168715889864967
"20","Smallpox","Alabama",1947,49,6,2987897,0.213104633083922,0.200810135021388
"21","Smallpox","Alabama",1948,25,15,3012499,1.03568499109875,0.497925476489785
"22","Smallpox","Alabama",1949,0,0,3037179,0,0
"23","Smallpox","Alabama",1950,0,0,3061743,0,0
"24","Smallpox","Alabama",1951,1,1,3086002,1.68502807191959,0.0324043859984537
"25","Smallpox","Alabama",1952,0,0,3109808,0,0
"26","Smallpox","Alabama",1953,0,0,3133025,0,0
"27","Smallpox","Alaska",1928,0,0,NA,NA,NA
"28","Smallpox","Alaska",1929,0,0,NA,NA,NA
"29","Smallpox","Alaska",1930,0,0,NA,NA,NA
"30","Smallpox","Alaska",1931,0,0,NA,NA,NA
"31","Smallpox","Alaska",1932,0,0,NA,NA,NA
"32","Smallpox","Alaska",1933,0,0,NA,NA,NA
"33","Smallpox","Alaska",1934,0,0,NA,NA,NA
"34","Smallpox","Alaska",1935,0,0,NA,NA,NA
"35","Smallpox","Alaska",1936,0,0,NA,NA,NA
"36","Smallpox","Alaska",1937,0,0,NA,NA,NA
"37","Smallpox","Alaska",1938,0,0,NA,NA,NA
"38","Smallpox","Alaska",1939,0,0,NA,NA,NA
"39","Smallpox","Alaska",1940,0,0,NA,NA,NA
"40","Smallpox","Alaska",1941,0,0,NA,NA,NA
"41","Smallpox","Alaska",1942,0,0,NA,NA,NA
"42","Smallpox","Alaska",1943,0,0,NA,NA,NA
"43","Smallpox","Alaska",1944,0,0,NA,NA,NA
"44","Smallpox","Alaska",1945,0,0,NA,NA,NA
"45","Smallpox","Alaska",1946,0,0,NA,NA,NA
"46","Smallpox","Alaska",1947,0,0,NA,NA,NA
"47","Smallpox","Alaska",1948,0,0,NA,NA,NA
"48","Smallpox","Alaska",1949,0,0,NA,NA,NA
"49","Smallpox","Alaska",1950,0,0,NA,NA,NA
"50","Smallpox","Alaska",1951,0,0,NA,NA,NA
"51","Smallpox","Alaska",1952,0,0,NA,NA,NA
"52","Smallpox","Alaska",1953,0,0,NA,NA,NA
"53","Smallpox","Arizona",1928,51,410,419022,99.7654575860634,97.8468910940237
"54","Smallpox","Arizona",1929,52,276,427789,64.5177879749129,64.5177879749129
"55","Smallpox","Arizona",1930,52,548,435573,125.811287660163,125.811287660163
"56","Smallpox","Arizona",1931,52,46,442257,10.401192067056,10.401192067056
"57","Smallpox","Arizona",1932,51,7,448031,1.59302702312134,1.56239188806132
"58","Smallpox","Arizona",1933,52,10,453180,2.20662871265281,2.20662871265281
"59","Smallpox","Arizona",1934,52,3,458009,0.655008962705973,0.655008962705973
"60","Smallpox","Arizona",1935,52,2,462838,0.432116636922638,0.432116636922638
"61","Smallpox","Arizona",1936,51,3,467998,0.653597564393815,0.641028380463164
"62","Smallpox","Arizona",1937,52,3,473840,0.633125105520851,0.633125105520851
"63","Smallpox","Arizona",1938,52,165,480730,34.3228007405404,34.3228007405404
"64","Smallpox","Arizona",1939,52,291,489061,59.5017799415615,59.5017799415615
"65","Smallpox","Arizona",1940,51,81,499261,16.5420962771211,16.2239790410226
"66","Smallpox","Arizona",1941,51,16,511731,3.18794942854665,3.12664270876691
"67","Smallpox","Arizona",1942,52,5,526617,0.949456625972956,0.949456625972956
"68","Smallpox","Arizona",1943,52,6,544018,1.10290468330092,1.10290468330092
"69","Smallpox","Arizona",1944,51,7,564056,1.26534509019686,1.24101153076999
"70","Smallpox","Arizona",1945,52,3,586878,0.511179495568074,0.511179495568074
"71","Smallpox","Arizona",1946,51,2,612654,0.332849485398693,0.326448533756411
"72","Smallpox","Arizona",1947,49,0,641579,0,0
"73","Smallpox","Arizona",1948,25,2,673875,0.617325171582267,0.29679094787609
"74","Smallpox","Arizona",1949,3,3,709787,7.32614150442316,0.422662009870567
"75","Smallpox","Arizona",1950,2,2,749587,6.93715339246812,0.266813592018005
"76","Smallpox","Arizona",1951,2,3,793493,9.82995439153212,0.378075168905082
"77","Smallpox","Arizona",1952,2,3,841392,9.27035198813395,0.356551999543613
"78","Smallpox","Arizona",1953,0,0,892999,0,0
"79","Smallpox","Arkansas",1928,51,248,1834261,13.7855378868132,13.5204313889899
"80","Smallpox","Arkansas",1929,52,199,1844191,10.7906393643608,10.7906393643608
"81","Smallpox","Arkansas",1930,52,410,1854482,22.1085995981627,22.1085995981627
"82","Smallpox","Arkansas",1931,52,753,1865216,40.3706594839418,40.3706594839418
"83","Smallpox","Arkansas",1932,52,360,1876247,19.1872392067782,19.1872392067782
"84","Smallpox","Arkansas",1933,52,230,1887368,12.1862826963263,12.1862826963263
"85","Smallpox","Arkansas",1934,52,107,1898367,5.63642330487203,5.63642330487203
"86","Smallpox","Arkansas",1935,52,61,1909028,3.19534338941074,3.19534338941074
"87","Smallpox","Arkansas",1936,51,14,1919130,0.743801087155199,0.729497220094522
"88","Smallpox","Arkansas",1937,52,95,1928446,4.92624631438993,4.92624631438993
"89","Smallpox","Arkansas",1938,52,227,1936749,11.7206721160047,11.7206721160047
"90","Smallpox","Arkansas",1939,52,151,1943807,7.76826094360191,7.76826094360191
"91","Smallpox","Arkansas",1940,51,90,1949387,4.70736215447999,4.61683595920153
"92","Smallpox","Arkansas",1941,51,33,1953293,1.72258124221658,1.68945467986626
"93","Smallpox","Arkansas",1942,52,62,1955469,3.17059488030749,3.17059488030749
"94","Smallpox","Arkansas",1943,52,57,1955897,2.91426389017418,2.91426389017418
"95","Smallpox","Arkansas",1944,51,21,1954565,1.0954746813681,1.07440786057256
"96","Smallpox","Arkansas",1945,52,31,1951465,1.58855014053544,1.58855014053544
"97","Smallpox","Arkansas",1946,52,11,1946593,0.565089877545023,0.565089877545023
"98","Smallpox","Arkansas",1947,49,4,1939953,0.218814474329207,0.206190562348675
"99","Smallpox","Arkansas",1948,25,20,1931550,2.15371075043359,1.03543786078538
"100","Smallpox","Arkansas",1949,0,0,1921397,0,0
"101","Smallpox","Arkansas",1950,1,1,1909511,2.72321028786951,0.0523694286128752
"102","Smallpox","Arkansas",1951,0,0,1896004,0,0
"103","Smallpox","Arkansas",1952,0,0,1881353,0,0
"104","Smallpox","Arkansas",1953,0,0,1866113,0,0
"105","Smallpox","California",1928,51,990,5230775,19.2975565706015,18.9264497134746
"106","Smallpox","California",1929,52,2009,5465979,36.7546234626953,36.7546234626953
"107","Smallpox","California",1930,52,2293,5677251,40.3892658612416,40.3892658612416
"108","Smallpox","California",1931,52,1390,5856343,23.734948584808,23.734948584808
"109","Smallpox","California",1932,52,495,6004994,8.24313896067173,8.24313896067173
"110","Smallpox","California",1933,52,1059,6128552,17.2797750594268,17.2797750594268
"111","Smallpox","California",1934,52,181,6233386,2.9037187814135,2.9037187814135
"112","Smallpox","California",1935,52,296,6326636,4.67863174046998,4.67863174046998
"113","Smallpox","California",1936,51,115,6416022,1.82753272917057,1.79238786899421
"114","Smallpox","California",1937,52,498,6509758,7.65005396513972,7.65005396513972
"115","Smallpox","California",1938,52,1135,6616546,17.1539652259653,17.1539652259653
"116","Smallpox","California",1939,52,720,6745701,10.6734644775984,10.6734644775984
"117","Smallpox","California",1940,50,191,6907387,2.87576184742508,2.76515562252412
"118","Smallpox","California",1941,51,13,7110629,0.186409696818443,0.18282489495655
"119","Smallpox","California",1942,52,7,7356081,0.0951593654284122,0.0951593654284122
"120","Smallpox","California",1943,52,4,7642242,0.0523406612876169,0.0523406612876169
"121","Smallpox","California",1944,51,17,7967508,0.217550246994836,0.213366588398782
"122","Smallpox","California",1945,52,5,8329968,0.060024240189158,0.060024240189158
"123","Smallpox","California",1946,52,10,8727200,0.114584288202402,0.114584288202402
"124","Smallpox","California",1947,49,1,9156064,0.0115904005235865,0.0109217235703027
"125","Smallpox","California",1948,25,43,9612509,0.93045426537442,0.44733378143001
"126","Smallpox","California",1949,1,1,10091374,0.515291574764745,0.00990945336086047
"127","Smallpox","California",1950,0,0,10586224,0,0
"128","Smallpox","California",1951,0,0,11090473,0,0
"129","Smallpox","California",1952,0,0,11601536,0,0
"130","Smallpox","California",1953,0,0,12117830,0,0
"131","Smallpox","Colorado",1928,49,340,1017341,35.4666062343513,33.4204558746772
"132","Smallpox","Colorado",1929,51,844,1026769,83.811355777964,82.1995989360801
"133","Smallpox","Colorado",1930,52,562,1035791,54.2580501278733,54.2580501278733
"134","Smallpox","Colorado",1931,52,265,1044337,25.3749508061095,25.3749508061095
"135","Smallpox","Colorado",1932,52,61,1052508,5.79568041288047,5.79568041288047
"136","Smallpox","Colorado",1933,52,167,1060454,15.7479720949706,15.7479720949706
"137","Smallpox","Colorado",1934,52,154,1068328,14.4150485618649,14.4150485618649
"138","Smallpox","Colorado",1935,52,172,1076289,15.9808378604631,15.9808378604631
"139","Smallpox","Colorado",1936,51,196,1084500,18.4272141313879,18.0728446288612
"140","Smallpox","Colorado",1937,52,212,1093129,19.3938684272396,19.3938684272396
"141","Smallpox","Colorado",1938,52,274,1102350,24.8559894770264,24.8559894770264
"142","Smallpox","Colorado",1939,52,361,1112343,32.4540182299884,32.4540182299884
"143","Smallpox","Colorado",1940,51,253,1123296,22.9646312560292,22.5230037318748
"144","Smallpox","Colorado",1941,51,51,1135396,4.5798998763427,4.49182487872073
